Name, InstanceName, ID,FoodGroup,ShortDescrip,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA, Cholesterol, MonounsaturatedFat, PolyunsaturatedFat, Potassium, SaturatedFat, Sodium
Aceite de oliva,AceiteOliva,04053,Fats and Oils,"OIL,OLIVE,SALAD OR COOKING","Oil, olive, salad or cooking",,,,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.35,0.0,0.0,0.0,0.0,1.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566666666666667,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,73.0,11.0,1.0,14.0,2.0
Oliva negra,OlivaNegra,09195,Fruits and Fruit Juices,"OLIVES,PICKLED,CND OR BTLD,GRN","Olives, pickled, canned or bottled, green",,,,145.0,1.03,15.32,3.84,0.54,3.3,20.0,0.031,0.0,0.0,3.81,3.0,0.237,0.007,0.021,52.0,0.12,0.49,11.0,0.0,4.0,0.9,0.04,0.022222222222222223,0.018235294117647058,0.0,0.0,0.254,0.0075,0.0148125,0.005384615384615384,0.0175,0.043333333333333335,0.00013333333333333334,0.02619047619047619,0.005714285714285714,0.016363636363636365,0.0036363636363636364,0.0,14,2.23,91.0,2.81,2250
Aguacate,Aguacate,09037,Fruits and Fruit Juices,"AVOCADOS,RAW,ALL COMM VAR","Avocados, raw, all commercial varieties",,,Persea americana,160.0,2.0,14.66,8.53,0.66,6.7,7.0,0.257,0.0,10.0,2.07,81.0,1.738,0.13,0.067,12.0,0.19,0.55,29.0,0.142,52.0,0.4,0.64,0.0077777777777777776,0.1511764705882353,0.0,0.1111111111111111,0.13799999999999998,0.2025,0.108625,0.1,0.05583333333333334,0.01,0.0002111111111111111,0.06904761904761905,0.07428571428571429,0.007272727272727273,0.05818181818181818,0.0,9.8,1.81,507.0,2.12,8.0
Ajo,Ajo,11215,Vegetables and Vegetable Products,"GARLIC,RAW","Garlic, raw",,,Allium sativum,149.0,6.36,0.5,33.06,1.0,2.1,0.0,1.235,0.0,31.2,0.08,3.0,0.7,0.11,0.2,181.0,0.299,1.7,25.0,1.672,153.0,14.2,1.16,0.0,0.7264705882352942,0.0,0.3466666666666667,0.005333333333333333,0.0075,0.04375,0.0846153846153846,0.16666666666666669,0.15083333333333335,0.0003322222222222222,0.05952380952380952,0.21857142857142858,0.2581818181818182,0.10545454545454545,0.0,0.01,0.249,401.0,0.089,17.0
Almendra,Almendra,12061,Nut and Seed Products,ALMONDS,"Nuts, almonds","Includes USDA commodity food A256, A264",,Prunus dulcis,579.0,21.15,49.93,21.55,4.35,12.5,0.0,0.137,0.0,0.0,25.63,44.0,3.618,1.138,0.205,269.0,1.031,3.71,270.0,2.179,481.0,4.1,3.12,0.0,0.08058823529411765,0.0,0.0,1.7086666666666666,0.11,0.226125,0.8753846153846153,0.17083333333333334,0.22416666666666665,0.0011455555555555555,0.6428571428571429,0.6871428571428572,0.07454545454545454,0.28363636363636363,0.0,31.551,12.329,733.0,3.802,1.0
TomateFrito,Tomate Frito,06972,"Soups, Sauces, and Gravies","SAUCE,TOMATO CHILI SAU,BTLD,W/SALT","Sauce, tomato chili sauce, bottled, with salt",,,,104.0,2.5,0.3,19.79,10.54,5.9,34.0,0.16,0.0,16.0,1.92,9.0,1.6,0.07,0.09,20.0,0.13,0.8,12.0,0.0,52.0,1.1,0.16,0.03777777777777778,0.09411764705882353,0.0,0.17777777777777778,0.128,0.0225,0.1,0.05384615384615385,0.075,0.016666666666666666,0.00014444444444444444,0.02857142857142857,0.07428571428571429,0.02,0.014545454545454545,3.0,0.0,0.0,0.0,0.330,667
Atun, Atún,15117,Finfish and Shellfish Products,"TUNA,FRESH,BLUEFIN,RAW","Fish, tuna, fresh, bluefin, raw",,,Thunnus thynnus (L.),144.0,23.33,4.9,0.0,0.0,0.0,655.0,0.455,9.43,0.0,1.0,2.0,8.654,0.251,0.241,8.0,0.086,1.02,50.0,0.015,254.0,36.5,0.6,0.7277777777777777,0.2676470588235294,3.9291666666666667,0.0,0.06666666666666667,0.005,0.540875,0.19307692307692306,0.20083333333333334,0.006666666666666667,9.555555555555554e-05,0.11904761904761904,0.3628571428571429,0.6636363636363637,0.05454545454545454,38.0,1.6,1.433,252,1.257,39
Avellana,Avellana,35233,American Indian/Alaska Native Foods,"HAZELNUTS,BEAKED (NORTHERN PLAINS INDIANS)","Hazelnuts, beaked (Northern Plains Indians)",,,Corylus cornuta Marsh.,628.0,14.89,52.99,22.98,0.0,9.8,0.0,0.55,0.0,0.0,0.0,0.0,3.19,0.16,0.48,441.0,1.2,3.12,235.0,7.6,411.0,0.0,2.06,0.0,0.3235294117647059,0.0,0.0,0.0,0.0,0.199375,0.12307692307692307,0.4,0.3675,0.0013333333333333333,0.5595238095238095,0.5871428571428572,0.0,0.18727272727272729,0.0,45.652,7.92,680.0,4.464,0.0
Azucar,Azucar,19334,Sweets,"SUGARS,BROWN","Sugars, brown",,,,380.0,0.12,0.0,98.09,97.02,0.0,0.0,0.041,0.0,0.0,0.0,1.0,0.11,0.0,0.0,83.0,0.047,0.71,9.0,0.064,4.0,1.2,0.03,0.0,0.024117647058823532,0.0,0.0,0.0,0.0025,0.006875,0.0,0.0,0.06916666666666667,5.222222222222222e-05,0.02142857142857143,0.005714285714285714,0.021818181818181816,0.002727272727272727,0.0,0.0,0.0,133.0,0.0,28.0
Bacalao,Bacalao,15045,Finfish and Shellfish Products,"LINGCOD,RAW","Fish, lingcod, raw",,,Ophiodon elongatus Girard,85.0,17.66,1.06,0.0,0.0,0.0,15.0,0.3,3.6,0.0,0.0,9.0,1.9,0.114,0.03,14.0,0.027,0.32,26.0,0.02,201.0,36.5,0.45,0.016666666666666666,0.17647058823529413,1.5,0.0,0.0,0.0225,0.11875,0.0876923076923077,0.025,0.011666666666666667,3e-05,0.06190476190476191,0.28714285714285714,0.6636363636363637,0.04090909090909091,52.0,0.350,0.300.0,437.0,0.197,59.0
Berenjena,Berenjena,11209,Vegetables and Vegetable Products,"EGGPLANT,RAW","Eggplant, raw",,,Solanum melongena,25.0,0.98,0.18,5.88,3.53,3.0,1.0,0.084,0.0,2.2,0.3,22.0,0.649,0.037,0.039,9.0,0.081,0.23,14.0,0.232,24.0,0.3,0.16,0.0011111111111111111,0.049411764705882356,0.0,0.024444444444444446,0.02,0.055,0.0405625,0.028461538461538458,0.0325,0.0075,9e-05,0.03333333333333333,0.03428571428571429,0.005454545454545454,0.014545454545454545,0.0,0.016,0.076,229,0.034,2.0
Cacahuete,Cacahuete,16087,Legumes and Legume Products,"PEANUTS,ALL TYPES,RAW","Peanuts, all types, raw",,,,567.0,25.8,49.24,16.13,4.72,8.5,0.0,0.348,0.0,0.0,8.33,240.0,12.066,0.135,0.64,92.0,1.144,4.58,168.0,1.934,376.0,7.2,3.27,0.0,0.20470588235294115,0.0,0.0,0.5553333333333333,0.6,0.754125,0.10384615384615385,0.5333333333333333,0.07666666666666666,0.001271111111111111,0.4,0.5371428571428571,0.13090909090909092,0.2972727272727273,0.0,24.426,15.558,705.0,6.279,18.0
Calabacin,Calabacín,11477,Vegetables and Vegetable Products,"SQUASH,SMMR,ZUCCHINI,INCL SKN,RAW","Squash, summer, zucchini, includes skin, raw",,,,17.0,1.21,0.32,3.11,2.5,1.0,10.0,0.163,0.0,17.9,0.12,24.0,0.451,0.094,0.045,16.0,0.053,0.37,18.0,0.177,38.0,0.2,0.32,0.011111111111111112,0.09588235294117647,0.0,0.19888888888888887,0.008,0.06,0.0281875,0.07230769230769231,0.0375,0.013333333333333334,5.888888888888889e-05,0.04285714285714286,0.054285714285714284,0.0036363636363636364,0.02909090909090909,0.0,0.011,0.091,261.0,0.084,8
